trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,down,0.01,db,0.048974499270434915,0.0012610997073352337,68.19049519998953,68.19049519998953,68.49013320030645,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,down,0.01,db,0.04891814773922974,0.00163569999858737,70.57326150033623,70.57326150033623,70.87310909992084,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.01,db,0.0488618610477905,0.0012878002598881721,73.03971760021523,73.03971760021523,73.33951940014958,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.01,db,0.048805639121510605,0.0012174001894891262,75.37278550025076,75.37278550025076,75.67253620037809,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.01,db,0.04874948188586931,0.001244900282472372,77.73915609996766,77.73915609996766,78.03878320008516,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.01,db,0.04869338926643163,0.0012389998883008957,80.08896260010079,80.08896260010079,80.38864780031145,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.01,db,0.04863736118884821,0.0015904996544122696,82.52206170000136,82.52206170000136,82.82134400028735,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.01,db,0.04858139757885526,0.0013069002889096737,84.90610569994897,84.90610569994897,85.2213619002141,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.01,db,0.04852549836227443,0.0013043000362813473,87.35462980018929,87.35462980018929,87.65428919997066,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.01,db,0.048469663465012726,0.001236800104379654,89.77068910002708,89.77068910002708,90.07053170027211,0,0,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.01,db,0.04852549836227443,0.0012802002020180225,92.18738730018958,92.18738730018958,92.48690439993516,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.01,db,0.04852549836227443,0.0014021997340023518,94.5371154001914,94.5371154001914,94.83659590035677,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.01,db,0.04852549836227443,0.0011960999108850956,96.97005670005456,96.97005670005456,97.26951420027763,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,down,0.005,db,0.048497572878356175,0.0010907999239861965,99.31972109992057,99.31972109992057,99.61940990015864,1,1,Debolina,001,2022-09-08_16h07.41.459,Debolina_Tutorial 1,2022.2.2,60.06745574898235,
